SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity,Shifted_SimTime
661.966,19.035,-0.018,0.1,15.063,0.074,0.158,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.846,0.856,0.223,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6761,-0.1571,0.7198,-0.3816,-0.9104,0.1597,0.6303,-0.3827,-0.6755,0.5849,0.3526,0.7305,0.3583,-0.9202,0.1573,0.7277,0.1697,-0.6646,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0197,-0.1345,-0.0991,-42.0412,-4.9016,36.1239,0.0,0.0432,-0.3597,0.0,0.0,0.0,1239844.948,280831.9651,6609553.1865,-5544.2363,-5190.1672,1263.5672,1239886.9892,280836.8667,6609517.0625,-5544.256,-5190.0327,1263.6663,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.10160708636704431,0.0194164878389476,-0.1,2.04324964245154,3.3563840777856306,1.5,0.15,662.1715
662.1715,19.021,-0.014,0.099,15.049,0.077,0.158,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.845,0.857,0.207,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6761,-0.1565,0.72,-0.3816,-0.9103,0.1605,0.6303,-0.3832,-0.6752,0.5846,0.3529,0.7305,0.3583,-0.9202,0.1578,0.7279,0.1695,-0.6644,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0197,-0.1345,-0.0991,-42.0371,-4.9295,36.1034,0.0,0.0432,-0.3597,0.0,0.0,0.0,1238685.7744,279746.8444,6609817.1722,-5544.575,-5190.2438,1261.7607,1238727.8114,279751.7739,6609781.0688,-5544.5947,-5190.1093,1261.8598,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09998499887483123,0.0194164878389476,-0.1,2.0491117099864358,3.3539155000557126,1.5,0.15,662.3813
662.3813,19.007,-0.01,0.099,15.035,0.08,0.157,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.844,0.858,0.191,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6761,-0.1559,0.7201,-0.3816,-0.9102,0.1612,0.6303,-0.3838,-0.6749,0.5843,0.3532,0.7306,0.3582,-0.9201,0.1583,0.7282,0.1693,-0.6642,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0197,-0.1345,-0.099,-42.0329,-4.9575,36.0827,0.0,0.0432,-0.3597,0.0,0.0,0.0,1237521.0881,278656.6145,6610082.0184,-5544.915,-5190.3205,1259.9457,1237563.1211,278661.572,6610045.9357,-5544.9347,-5190.186,1260.0447,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09950376877284599,0.0194164878389476,-0.1,2.034186217601564,3.351446922325794,1.5,0.15,662.5905
662.5905,18.994,-0.006,0.098,15.021,0.083,0.156,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.843,0.859,0.175,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1554,0.7202,-0.3816,-0.91,0.1619,0.6302,-0.3843,-0.6746,0.5841,0.3534,0.7307,0.3582,-0.9201,0.1587,0.7284,0.169,-0.664,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0197,-0.1345,-0.099,-42.0288,-4.9851,36.0623,0.0,0.0432,-0.3597,0.0,0.0,0.0,1236368.7424,277577.9857,6610343.666,-5545.251,-5190.396,1258.1499,1236410.7712,277582.9708,6610307.6038,-5545.2708,-5190.2616,1258.249,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09818350166906863,0.0194164878389476,-0.1,2.028282619337538,3.3491546715765836,1.5,0.15,662.8002
662.8002,18.98,-0.002,0.097,15.007,0.086,0.156,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.842,0.86,0.159,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1548,0.7203,-0.3816,-0.9099,0.1627,0.6302,-0.3848,-0.6743,0.5838,0.3537,0.7308,0.3581,-0.92,0.1592,0.7287,0.1688,-0.6638,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0197,-0.1345,-0.099,-42.0246,-5.0131,36.0416,0.0,0.0432,-0.3597,0.0,0.0,0.0,1235204.0051,276487.8084,6610607.7317,-5545.5903,-5190.4721,1256.3349,1235246.0298,276492.8215,6610571.6901,-5545.6101,-5190.3376,1256.4339,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09702061636580135,0.0194164878389476,-0.1,2.0342168960994487,3.346686093846665,1.5,0.15,663.0101
663.0101,18.966,0.002,0.096,14.994,0.089,0.155,-0.066,0.019,-0.004,-0.066,0.014,-0.003,0.841,0.862,0.143,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.891,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1542,0.7204,-0.3816,-0.9098,0.1634,0.6302,-0.3854,-0.674,0.5835,0.354,0.7309,0.3581,-0.9199,0.1597,0.7289,0.1685,-0.6636,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0198,-0.1345,-0.099,-42.0205,-5.0406,36.0213,0.0,0.0432,-0.3597,0.0,0.0,0.0,1234062.3475,275419.2827,6610866.179,-5545.9226,-5190.5464,1254.5559,1234104.3681,275424.3232,6610830.1576,-5545.9423,-5190.4119,1254.6549,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09602083107326244,0.0194164878389476,-0.1,2.0290748556978744,3.344217516116747,1.5,0.15,663.2212
663.2212,18.952,0.007,0.095,14.98,0.092,0.154,-0.067,0.019,-0.004,-0.067,0.014,-0.003,0.84,0.863,0.126,-0.005,0.006,-0.077,-0.004,0.0,-0.0,822.887,-0.0,0.0,-1.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1536,0.7205,-0.3816,-0.9096,0.1641,0.6302,-0.3859,-0.6737,0.5833,0.3542,0.731,0.358,-0.9199,0.1601,0.7291,0.1683,-0.6634,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0209,-0.1342,-0.1,-42.0162,-5.0695,36.0,0.0,0.0432,-0.3597,0.0,0.0,0.0,1232859.0318,274293.1013,6611138.1725,-5546.2713,-5190.6241,1252.6798,1232901.048,274298.1708,6611102.1725,-5546.2922,-5190.4899,1252.7798,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09525754563287887,0.0194164878389476,-0.1,2.0127409107326413,3.3417489383868286,1.5,0.15,663.426
663.426,18.938,0.01,0.095,14.965,0.095,0.153,-0.071,0.019,-0.004,-0.071,0.014,-0.003,0.839,0.864,0.11,-0.005,0.006,-0.078,-0.004,0.0,-0.0,822.874,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1531,0.7207,-0.3816,-0.9095,0.1648,0.6302,-0.3865,-0.6734,0.583,0.3545,0.7311,0.3579,-0.9198,0.1606,0.7294,0.168,-0.6632,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0239,-0.1335,-0.1028,-42.0115,-5.0962,35.9795,0.0,0.0432,-0.3597,0.0,0.0,0.0,1231737.5169,273243.5253,6611391.2922,-5546.5941,-5190.6957,1250.9294,1231779.5284,273248.6215,6611355.3127,-5546.618,-5190.5622,1251.0322,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.095524865872714,0.0194164878389476,-0.1,2.008322847732323,3.3392803606569097,1.5,0.15,663.637
663.637,18.923,0.015,0.094,14.95,0.098,0.153,-0.071,0.02,-0.004,-0.071,0.014,-0.003,0.838,0.865,0.094,-0.005,0.006,-0.078,-0.004,0.0,-0.0,822.874,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1525,0.7208,-0.3816,-0.9094,0.1656,0.6302,-0.387,-0.6731,0.5827,0.3548,0.7311,0.3579,-0.9198,0.1611,0.7296,0.1678,-0.6629,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0239,-0.1335,-0.1028,-42.0065,-5.1242,35.9579,0.0,0.0432,-0.3597,0.0,0.0,0.0,1230565.0189,272146.287,6611655.5268,-5546.9343,-5190.7711,1249.1025,1230607.0254,272151.4112,6611619.5689,-5546.9582,-5190.6376,1249.2052,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09518928511129811,0.02039607805437114,-0.1,2.0035528874154656,3.3366354559462823,1.5,0.15,663.8478
663.8478,18.908,0.019,0.093,14.935,0.101,0.152,-0.071,0.02,-0.004,-0.071,0.014,-0.003,0.837,0.867,0.077,-0.005,0.006,-0.078,-0.004,0.0,-0.0,822.874,-0.0,0.0,-0.0,-0.16,0.0,0.0,0.0,0.0,0.6762,-0.1519,0.7209,-0.3816,-0.9092,0.1663,0.6302,-0.3876,-0.6728,0.5825,0.355,0.7312,0.3578,-0.9197,0.1615,0.7299,0.1676,-0.6627,-0.0038,0.0,-0.0,-0.0017,-0.0017,0.0,0.0239,-0.1335,-0.1028,-42.0014,-5.1522,35.9362,0.0,0.0432,-0.3597,0.0,0.0,0.0,1229389.4407,271046.2173,6611920.0496,-5547.275,-5190.8463,1247.2707,1229431.4421,271051.3696,6611884.1134,-5547.2989,-5190.7128,1247.3735,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.09492101980067429,0.02039607805437114,-0.1,1.9981334282701315,3.333990551235656,1.5,0.15,664.0531
